genes	cpgs	mean_weight
ENSG00000088179	cg00003202	1.0679876358893063
ENSG00000269416	cg00000321	1.0678721059479221
ENSG00000070081	cg00003578	1.06653390536256
ENSG00000197421	cg00001854	1.0660985043224624
ENSG00000182141	cg00003091	1.0608207684718396
ENSG00000215246	cg00002646	1.0570356062452637
ENSG00000278099	cg00002531	1.0558914858913375
ENSG00000167578	cg00001791	1.0552755971288044
ENSG00000263089	cg00001854	1.054964720127715
ENSG00000278099	cg00002646	1.0544353336734995
ENSG00000274458	cg00004082	1.0543947744478683
ENSG00000240423	cg00001874	1.0525209911882527
ENSG00000198242	cg00002224	1.0490673014729437
ENSG00000161558	cg00002660	1.0484148585406345
ENSG00000231105	cg00001747	1.040462443679308
ENSG00000198242	cg00002719	1.0403299772296049
ENSG00000070081	cg00003513	1.0388975650638563
ENSG00000206072	cg00003578	1.0388218717249453
ENSG00000167768	cg00004055	1.0367228015164243
ENSG00000185105	cg00002190	1.0363768078948785
ENSG00000070087	cg00002810	1.0354696070111704
ENSG00000198242	cg00001687	1.0336587181911028
ENSG00000269416	cg00000714	1.0300821427254334
ENSG00000269416	cg00003202	1.0300348322500499
ENSG00000060642	cg00001583	1.0294572903456258
ENSG00000172137	cg00002236	1.0281668535073412
ENSG00000095587	cg00000622	1.0281342915352
ENSG00000274458	cg00002145	1.0276306174680885
ENSG00000198242	cg00001349	1.0264898090869383
ENSG00000234900	cg00000165	1.0257663799383596
ENSG00000198242	cg00001854	1.0228572569239016
ENSG00000264576	cg00004067	1.0220005468668212
ENSG00000207000	cg00002591	1.0192348752677036
ENSG00000197421	cg00002426	1.0190046592139181
ENSG00000166391	cg00004072	1.0181442013609956
ENSG00000271647	cg00002808	1.0140867373050024
ENSG00000198242	cg00001583	1.0131424506806044
ENSG00000167700	cg00000165	1.0129425624220567
ENSG00000172137	cg00003578	1.0085332962171585
ENSG00000185105	cg00003287	1.0062500727713983
ENSG00000078237	cg00002769	1.0047593747719552
ENSG00000064601	cg00003091	1.004671707035474
ENSG00000078237	cg00000714	1.0033864138985935
ENSG00000179833	cg00002033	1.0015277755139633
ENSG00000182141	cg00002531	1.0003137219794367
ENSG00000060642	cg00002808	0.9998634844954561
ENSG00000179262	cg00000734	0.9994494847390865
ENSG00000172137	cg00001874	0.9993938758777839
ENSG00000167578	cg00001446	0.9985121836294684
ENSG00000158486	cg00002406	0.9981211910668963
ENSG00000070087	cg00000714	0.995161450576485
ENSG00000057294	cg00002837	0.9945083427411842
ENSG00000008517	cg00000721	0.9945061934333775
ENSG00000259883	cg00000321	0.9917209991227298
ENSG00000267108	cg00003529	0.9900596061966348
ENSG00000206072	cg00002809	0.989854633644487
ENSG00000227766	cg00003287	0.9866788993291173
ENSG00000196167	cg00003625	0.9853330859749266
ENSG00000167768	cg00000948	0.9851972972440256
ENSG00000166391	cg00004089	0.9850400761181444
ENSG00000206072	cg00002224	0.9845732947741926
ENSG00000008517	cg00002597	0.9844447083555088
ENSG00000179833	cg00000924	0.9816483600645971
ENSG00000198242	cg00000165	0.9815644296740734
ENSG00000179262	cg00000714	0.9791057318238584
ENSG00000064225	cg00002808	0.9791055544691846
ENSG00000280159	cg00002236	0.9789797035595464
ENSG00000078237	cg00003513	0.9761901194022733
ENSG00000231105	cg00002809	0.9757526669181411
ENSG00000158486	cg00001245	0.9737473182977766
ENSG00000197421	cg00003784	0.97348923582014
ENSG00000158486	cg00000321	0.9732056687571077
ENSG00000070081	cg00003305	0.9710002876477972
ENSG00000234900	cg00003784	0.9703712073893501
ENSG00000153561	cg00002464	0.9694005698130765
ENSG00000167700	cg00002769	0.9670759270136845
ENSG00000270112	cg00004082	0.9643325139203821
ENSG00000234943	cg00002145	0.9616633680068268
ENSG00000204113	cg00003345	0.959163492671316
ENSG00000064225	cg00003969	0.956524334974623
ENSG00000264104	cg00000363	0.9554059040590225
ENSG00000258630	cg00002490	0.954676523142194
ENSG00000266644	cg00003345	0.9523574516042203
ENSG00000167700	cg00002719	0.9519264578501193
ENSG00000070087	cg00002464	0.950241151962239
ENSG00000118972	cg00001245	0.9481196073486403
ENSG00000118972	cg00000658	0.947992437098795
ENSG00000182141	cg00003784	0.9476467777189503
ENSG00000269416	cg00003578	0.9452596487646185
ENSG00000198242	cg00002490	0.9431251686360679
ENSG00000270469	cg00001854	0.9425526946890416
ENSG00000271647	cg00001687	0.9419708287229535
ENSG00000197421	cg00002808	0.9406483323863065
ENSG00000234881	cg00004055	0.9399408234899239
ENSG00000215246	cg00003969	0.939761995644122
ENSG00000185105	cg00003513	0.9390710620183121
ENSG00000182141	cg00000714	0.9387585425041141
ENSG00000102174	cg00003969	0.9386959235129453
ENSG00000214198	cg00001687	0.9364470770797059
ENSG00000280038	cg00003529	0.9354260874237016
ENSG00000234900	cg00002810	0.9343207797201695
ENSG00000064225	cg00003784	0.9335375074618592
ENSG00000206072	cg00001854	0.9295606269030289
ENSG00000064225	cg00000236	0.928066865018978
ENSG00000254465	cg00001510	0.9264325558077188
ENSG00000269416	cg00002116	0.9255378387964432
ENSG00000263089	cg00002531	0.9246247585674098
ENSG00000214198	cg00004089	0.9245193865082267
ENSG00000060642	cg00002597	0.9235792288241006
ENSG00000196167	cg00003181	0.9223755920138927
ENSG00000166391	cg00001245	0.9220077284491771
ENSG00000166391	cg00001582	0.9218502333467744
ENSG00000167700	cg00002660	0.9214480094994638
ENSG00000167700	cg00000321	0.9209671740535893
ENSG00000060642	cg00001245	0.9198471210381353
ENSG00000166391	cg00002809	0.9189059495288495
ENSG00000166391	cg00000289	0.9186319036154417
ENSG00000242041	cg00002224	0.9184125712445091
ENSG00000118972	cg00003513	0.9179856914242395
ENSG00000161558	cg00002236	0.917956820645054
ENSG00000172137	cg00003345	0.9154636961928113
ENSG00000234943	cg00000029	0.9109645237742345
ENSG00000234900	cg00000905	0.9101558902704671
ENSG00000127511	cg00002406	0.909919077270508
ENSG00000060642	cg00002531	0.9088767307326643
ENSG00000060642	cg00002406	0.908607775216589
ENSG00000172137	cg00001582	0.908452570483307
ENSG00000166391	cg00002930	0.9080101847772389
ENSG00000266261	cg00001446	0.9073965020340192
ENSG00000234881	cg00002591	0.9072290041547748
ENSG00000158486	cg00001747	0.9058517417574597
ENSG00000167768	cg00003202	0.9058415672604309
ENSG00000167700	cg00000924	0.9055836603692446
ENSG00000166391	cg00001249	0.9045881620006867
ENSG00000167768	cg00003784	0.9034981793298278
ENSG00000158486	cg00003298	0.9029476486303935
ENSG00000095587	cg00003287	0.9017974058381354
ENSG00000134108	cg00003529	0.9003997987813656
ENSG00000206072	cg00000289	0.9001353599937371
ENSG00000280159	cg00004082	0.9001296290699748
ENSG00000227766	cg00003091	0.8987659494915458
ENSG00000273406	cg00000734	0.897589869799094
ENSG00000179262	cg00002930	0.8975253353011469
ENSG00000269416	cg00004089	0.8970429923591662
ENSG00000269148	cg00002591	0.8951084611306271
ENSG00000172137	cg00001261	0.8923979910943748
ENSG00000078237	cg00001261	0.8920586837834811
ENSG00000206072	cg00003969	0.892057026202612
ENSG00000057294	cg00002449	0.8918436488025668
ENSG00000261789	cg00000236	0.8912519399146496
ENSG00000215246	cg00002116	0.8911561006685395
ENSG00000214198	cg00002808	0.8895119097352406
ENSG00000278099	cg00001364	0.8894990118286374
ENSG00000166634	cg00003513	0.8854142617456687
ENSG00000230100	cg00002449	0.8848262421319207
ENSG00000118972	cg00004055	0.8835861499075884
ENSG00000172137	cg00004072	0.8830984972055907
ENSG00000214062	cg00003784	0.8823103665346879
ENSG00000273055	cg00000165	0.8821146618188687
ENSG00000198242	cg00003625	0.8807827397770612
ENSG00000064601	cg00002769	0.8806876432901453
ENSG00000008517	cg00001687	0.8804359241375656
ENSG00000172137	cg00001747	0.8801620376181569
ENSG00000196167	cg00003513	0.8796418049790594
ENSG00000215246	cg00001809	0.8786792266572371
ENSG00000215246	cg00003173	0.8768686294958261
ENSG00000234943	cg00003578	0.8746151477256312
ENSG00000264438	cg00003529	0.8744730637636131
ENSG00000269416	cg00002719	0.8738625300874592
ENSG00000102174	cg00001446	0.8737185919948368
ENSG00000258630	cg00002810	0.8735708221731561
ENSG00000060642	cg00001249	0.873541657689799
ENSG00000269416	cg00003625	0.8733017211616022
ENSG00000233540	cg00003202	0.8732137889680928
ENSG00000095587	cg00002490	0.871233378351595
ENSG00000264104	cg00002426	0.8707774277956221
ENSG00000276644	cg00003305	0.8706079760158764
ENSG00000167578	cg00003513	0.8703726079508449
ENSG00000102174	cg00002597	0.86962490908808
ENSG00000214198	cg00000924	0.8686150026278826
ENSG00000172137	cg00002033	0.8676508336215448
ENSG00000167578	cg00002449	0.8664408659251294
ENSG00000167700	cg00002449	0.8647857892965582
ENSG00000261789	cg00003298	0.8636761514596162
ENSG00000234900	cg00001747	0.8613920511139476
ENSG00000166391	cg00001349	0.8612616562692855
ENSG00000225269	cg00002769	0.8594948459544834
ENSG00000258630	cg00000905	0.85920099766272
ENSG00000166634	cg00000721	0.8591121277036496
ENSG00000197421	cg00000924	0.8581708808840663
ENSG00000070081	cg00002719	0.85792636299167
ENSG00000172137	cg00001583	0.8565981327912014
ENSG00000166634	cg00003091	0.8562773672701388
ENSG00000166391	cg00003091	0.8561531881336625
ENSG00000182141	cg00000905	0.8559188976061906
ENSG00000064601	cg00001583	0.8540335523073851
ENSG00000088179	cg00001809	0.8526516182140695
ENSG00000254092	cg00003298	0.8525210332542207
ENSG00000179262	cg00002810	0.8496855706133465
ENSG00000278923	cg00002591	0.8496597671028322
ENSG00000234900	cg00001510	0.8487918722278843
ENSG00000166634	cg00000321	0.8480402525332797
ENSG00000008517	cg00000734	0.8479336948084275
ENSG00000088179	cg00002593	0.847545129295621
ENSG00000179262	cg00003994	0.8472816916238682
ENSG00000064225	cg00000622	0.8468077225558059
ENSG00000276644	cg00001245	0.8467573407421346
ENSG00000179833	cg00003305	0.8465841933211348
ENSG00000275479	cg00003994	0.8444587261711741
ENSG00000185105	cg00002810	0.844395654703222
ENSG00000278099	cg00000905	0.8441332601900996
ENSG00000161558	cg00000769	0.8440942597286064
ENSG00000070081	cg00000905	0.842966259835879
ENSG00000263089	cg00000769	0.8423457345834063
ENSG00000078237	cg00000292	0.8417304364539041
ENSG00000214062	cg00002490	0.8405757692317497
ENSG00000172137	cg00002464	0.8404859570526737
ENSG00000172137	cg00001349	0.8385641550488296
ENSG00000179262	cg00003345	0.8382522470782369
ENSG00000278099	cg00004082	0.8376903734202849
ENSG00000064225	cg00001747	0.8370665886125329
ENSG00000266261	cg00002190	0.836095178844597
ENSG00000166391	cg00001364	0.8356321488341892
ENSG00000280159	cg00002531	0.8354390056359562
ENSG00000167768	cg00001249	0.8351263681710911
ENSG00000088179	cg00001854	0.835071470287117
ENSG00000167578	cg00002116	0.8339917260071892
ENSG00000273055	cg00002597	0.8327137289839811
ENSG00000236040	cg00000363	0.8324145205339869
ENSG00000185105	cg00001245	0.8311381707460672
ENSG00000196167	cg00001349	0.8289306563196548
ENSG00000220993	cg00004082	0.8286246016328692
ENSG00000167700	cg00001854	0.82808124812213
ENSG00000273055	cg00001245	0.8270538741494944
ENSG00000153561	cg00003298	0.8268149054322415
ENSG00000275479	cg00000321	0.825252957248816
ENSG00000273055	cg00000769	0.8250941029396737
ENSG00000078237	cg00002719	0.8219167436720864
ENSG00000263089	cg00002808	0.8218035363074421
ENSG00000102174	cg00002808	0.820881302492142
ENSG00000118972	cg00003578	0.8205995255831967
ENSG00000134108	cg00003625	0.8203073775583706
ENSG00000146083	cg00003994	0.8193719866778325
ENSG00000242041	cg00002531	0.8184903024187226
ENSG00000088179	cg00000769	0.8181050924410721
ENSG00000070081	cg00002531	0.817531673939075
ENSG00000197421	cg00002406	0.8147807817298446
ENSG00000206072	cg00001874	0.8147639959023611
ENSG00000060642	cg00003784	0.8120809110221687
ENSG00000167578	cg00001510	0.8117360899310118
ENSG00000266261	cg00000236	0.8106881937794448
ENSG00000167700	cg00002224	0.8104573725633594
ENSG00000064601	cg00002490	0.808631997893907
ENSG00000273055	cg00002837	0.8078927587034014
