genes	cpgs	mean_max_frequency_weight
ENSG00000070087	cg00001349	33459453.37148572
ENSG00000064601	cg00003784	33367844.08278018
ENSG00000118972	cg00002426	33329355.93339545
ENSG00000269416	cg00003202	32914514.622190647
ENSG00000269416	cg00002116	32771545.4257247
ENSG00000196167	cg00000292	32763664.94997306
ENSG00000197421	cg00002808	32668068.102433342
ENSG00000227766	cg00001747	32621184.864443947
ENSG00000064225	cg00000622	32521384.90800354
ENSG00000230100	cg00002646	32488563.991983928
ENSG00000146083	cg00003091	32475631.2287175
ENSG00000227766	cg00000289	32445646.90702038
ENSG00000166634	cg00000289	32422811.225283097
ENSG00000258630	cg00001687	32404837.126094695
ENSG00000273055	cg00000905	32347295.09104945
ENSG00000088179	cg00002531	32322685.11471222
ENSG00000064225	cg00001245	32176116.40333135
ENSG00000167578	cg00000622	32018625.034477126
ENSG00000214062	cg00003091	31914130.08468084
ENSG00000166391	cg00000658	31877676.32220956
ENSG00000134108	cg00003305	31829727.979905095
ENSG00000206072	cg00004055	31659667.549652115
ENSG00000227766	cg00003298	31610703.38414932
ENSG00000264104	cg00000363	31567289.549946588
ENSG00000070081	cg00001249	31515344.158397533
ENSG00000236040	cg00002224	31328153.08901672
ENSG00000064601	cg00004072	31309835.134978797
ENSG00000234900	cg00002406	31308459.76116872
ENSG00000161558	cg00002808	31267307.759138368
ENSG00000264576	cg00002809	31242605.82641946
ENSG00000167578	cg00001791	31163350.710654523
ENSG00000070081	cg00001809	31149717.871786777
ENSG00000196167	cg00001583	31085984.001070775
ENSG00000095587	cg00002531	30925260.54704605
ENSG00000166634	cg00000924	30885648.851779964
ENSG00000197421	cg00001687	30880659.320722457
ENSG00000134108	cg00000905	30859058.537718866
ENSG00000127511	cg00002406	30440388.71833208
ENSG00000269416	cg00003305	30362154.816594634
ENSG00000064225	cg00002591	30344104.571784377
ENSG00000242268	cg00000948	30341973.675882973
ENSG00000134108	cg00003578	30268168.96583396
ENSG00000264438	cg00004072	30083693.944054715
ENSG00000234900	cg00001791	30031775.895448584
ENSG00000134108	cg00002033	30011871.774560466
ENSG00000231105	cg00002464	29956800.61762346
ENSG00000276644	cg00003305	29945756.07349308
ENSG00000166391	cg00002769	29928456.797199752
ENSG00000233540	cg00002116	29845124.173446145
ENSG00000064601	cg00000957	29830460.799707834
ENSG00000064225	cg00001791	29822395.813994758
ENSG00000269416	cg00000714	29692970.01850673
ENSG00000231105	cg00002224	29674728.062015988
ENSG00000070087	cg00002837	29621603.94610812
ENSG00000078237	cg00002426	29547093.51794428
ENSG00000161558	cg00003287	29535251.626398195
ENSG00000258630	cg00001747	29528682.31242848
ENSG00000227535	cg00002660	29500409.26181819
ENSG00000070081	cg00001245	29499089.413987122
ENSG00000064601	cg00000029	29392438.978781167
ENSG00000127511	cg00002224	29376722.978462067
ENSG00000179262	cg00002660	29288275.95031382
ENSG00000095587	cg00004072	29213226.79789381
ENSG00000275479	cg00000769	29173919.297074374
ENSG00000064601	cg00001791	29139694.661200684
ENSG00000060642	cg00000622	29121990.091083102
ENSG00000196167	cg00001245	29015267.47918685
ENSG00000078237	cg00000165	29004091.825365525
ENSG00000280159	cg00003181	28974829.0478176
ENSG00000274219	cg00003091	28950168.88646106
ENSG00000258630	cg00003513	28887100.335798625
ENSG00000146083	cg00000622	28872170.277422298
ENSG00000198242	cg00001687	28805750.952691805
ENSG00000276644	cg00002591	28740647.296127733
ENSG00000127511	cg00001364	28738236.26963954
ENSG00000070087	cg00000905	28694173.727659542
ENSG00000064225	cg00002930	28608980.55788034
ENSG00000057294	cg00001791	28605033.591914967
ENSG00000182141	cg00003091	28604918.253451716
ENSG00000198242	cg00002490	28535226.11369918
ENSG00000146083	cg00000721	28518985.547062837
ENSG00000234943	cg00001510	28452307.789069574
ENSG00000280159	cg00002490	28426465.47888361
ENSG00000146083	cg00003181	28370816.949979745
ENSG00000206072	cg00003513	28330868.585974373
ENSG00000258630	cg00000292	28248511.520959474
ENSG00000127511	cg00002145	28243888.65184452
ENSG00000215246	cg00003305	28181133.992534686
ENSG00000095587	cg00000658	28109462.995879352
ENSG00000172137	cg00002464	28064081.596296582
ENSG00000078237	cg00002464	27993182.233371537
ENSG00000197421	cg00002464	27945032.838319294
ENSG00000158486	cg00001349	27936156.15057505
ENSG00000064601	cg00002464	27915097.419803854
ENSG00000197421	cg00001854	27876248.38789445
ENSG00000274219	cg00001446	27855866.59301573
ENSG00000182141	cg00004055	27814943.139153346
ENSG00000264104	cg00004082	27753954.9305302
ENSG00000172137	cg00000905	27700449.633542333
ENSG00000276644	cg00002490	27667802.173077896
ENSG00000254092	cg00002490	27580436.54063941
ENSG00000102174	cg00001791	27541916.417909957
ENSG00000234900	cg00001582	27499693.515734293
ENSG00000134108	cg00001583	27347516.037045036
ENSG00000167700	cg00003091	27345729.496411346
ENSG00000070087	cg00002116	27342052.272065468
ENSG00000273055	cg00004089	27331418.471979644
ENSG00000263089	cg00002531	27315779.94381378
ENSG00000227535	cg00000363	27281838.392774936
ENSG00000008517	cg00001582	27235266.613176726
ENSG00000057294	cg00000622	27219666.562232435
ENSG00000146083	cg00003173	27020279.09122488
ENSG00000214198	cg00001687	26959785.1366432
ENSG00000070081	cg00002449	26946597.479994386
ENSG00000273055	cg00002809	26928772.955175977
ENSG00000275479	cg00002593	26916928.93075097
ENSG00000095587	cg00000622	26853517.15421149
ENSG00000234900	cg00002236	26836723.444692753
ENSG00000167768	cg00001249	26818753.09440547
ENSG00000057294	cg00002593	26746388.88590422
ENSG00000278099	cg00002531	26737451.179687854
ENSG00000146083	cg00002224	26731242.888466667
ENSG00000263089	cg00001245	26721783.15426454
ENSG00000271647	cg00001809	26713369.546743333
ENSG00000196167	cg00001791	26690244.07501124
ENSG00000070081	cg00001582	26676940.171477444
ENSG00000215246	cg00001249	26610135.80352702
ENSG00000118972	cg00000957	26607002.66106911
ENSG00000153561	cg00003994	26525776.05801514
ENSG00000225269	cg00000905	26508582.190326322
ENSG00000259883	cg00000658	26490259.036068294
ENSG00000196167	cg00000734	26443581.868838854
ENSG00000214062	cg00003173	26443523.533862855
ENSG00000273055	cg00000236	26427881.89370939
ENSG00000231105	cg00003969	26426869.020585638
ENSG00000276644	cg00002809	26385353.133435532
ENSG00000214198	cg00000924	26383472.885285422
ENSG00000269148	cg00001854	26351092.416221328
ENSG00000196167	cg00000236	26349039.511745818
ENSG00000258630	cg00000721	26342619.346690934
ENSG00000254092	cg00004089	26330254.62172039
ENSG00000179833	cg00000769	26291644.49215453
ENSG00000078237	cg00002591	26281479.229193833
ENSG00000167768	cg00003784	26273111.50638344
ENSG00000275479	cg00001583	26263758.258179855
ENSG00000264438	cg00003529	26245456.478338618
ENSG00000118972	cg00002033	26237315.454065718
ENSG00000182141	cg00000363	26219452.647710495
ENSG00000167768	cg00002406	26121664.59175346
ENSG00000263089	cg00002808	26108145.45507354
ENSG00000060642	cg00003181	26025506.397551384
ENSG00000270469	cg00001854	26003827.77085667
ENSG00000196167	cg00003513	25942498.892092805
ENSG00000095587	cg00000236	25917895.48022381
ENSG00000259883	cg00000029	25887178.45317435
ENSG00000273055	cg00004082	25814674.093772784
ENSG00000206072	cg00002593	25772126.7830338
ENSG00000206072	cg00002224	25769269.234120425
ENSG00000267108	cg00000292	25768003.35213951
ENSG00000206072	cg00000321	25732460.85912435
ENSG00000158486	cg00002406	25700742.077076778
ENSG00000134108	cg00003625	25691456.495136928
ENSG00000215246	cg00003625	25683549.2705289
ENSG00000166634	cg00000721	25612850.313700065
ENSG00000064601	cg00002593	25587518.721359186
ENSG00000254131	cg00004089	25549513.006740604
ENSG00000271647	cg00002808	25500042.15576933
ENSG00000240423	cg00001510	25460483.645755135
ENSG00000078237	cg00004067	25443768.000022963
ENSG00000064225	cg00002808	25438380.54908842
ENSG00000167700	cg00000622	25373534.44256425
ENSG00000234900	cg00003287	25366808.29547943
ENSG00000166391	cg00000289	25358062.006635755
ENSG00000118972	cg00003529	25352669.67908175
ENSG00000064601	cg00002236	25321684.547531072
ENSG00000254465	cg00002426	25256986.75777665
ENSG00000196167	cg00000714	25247307.96994594
ENSG00000134108	cg00002810	25177503.798616186
ENSG00000267108	cg00000948	25120413.481583476
ENSG00000060642	cg00002464	25116203.932773672
ENSG00000153561	cg00004067	25112622.760974847
ENSG00000167700	cg00002449	25109275.674814682
ENSG00000158486	cg00001446	25029681.955432035
ENSG00000214198	cg00003969	25000521.48808437
ENSG00000225269	cg00000292	24999258.337376315
ENSG00000197421	cg00002406	24982552.134232886
ENSG00000070081	cg00000321	24971399.90700578
ENSG00000275479	cg00001446	24910434.465736177
ENSG00000263089	cg00003202	24848810.686328772
ENSG00000207000	cg00002591	24842052.642120954
ENSG00000266644	cg00003173	24832605.839608327
ENSG00000057294	cg00003202	24823565.105589125
ENSG00000231981	cg00001854	24806645.131474685
ENSG00000166391	cg00001582	24797076.2965296
ENSG00000179262	cg00002449	24654240.147687305
ENSG00000215246	cg00003969	24653080.506518114
ENSG00000172137	cg00001446	24581796.07634757
ENSG00000263089	cg00000236	24568438.657752525
ENSG00000254092	cg00004082	24494555.79306325
ENSG00000269416	cg00003578	24449341.294081483
ENSG00000258630	cg00002490	24446930.370503657
ENSG00000057294	cg00002449	24381315.344384577
ENSG00000118972	cg00002236	24351807.484275382
ENSG00000225275	cg00003578	24325592.32519201
ENSG00000273055	cg00000363	24266314.48983206
ENSG00000179262	cg00002593	24241450.081559982
ENSG00000060642	cg00003305	24240062.909107704
ENSG00000185105	cg00002490	24176924.979236476
ENSG00000234881	cg00004055	24073001.746105004
ENSG00000166368	cg00002810	24035526.548583873
ENSG00000172137	cg00003091	24031092.05425182
ENSG00000196167	cg00002033	24013307.444583423
ENSG00000161558	cg00001510	23993919.331113927
ENSG00000179262	cg00000734	23986332.64066767
ENSG00000263089	cg00003969	23984854.146831755
ENSG00000078237	cg00000236	23983608.667997114
ENSG00000267108	cg00002593	23967518.205668602
ENSG00000182141	cg00004082	23949232.51435718
ENSG00000166007	cg00000658	23912055.176540997
ENSG00000197421	cg00003784	23899508.370854538
ENSG00000230100	cg00001245	23898570.35508332
ENSG00000008517	cg00000236	23895513.00483869
ENSG00000088179	cg00002593	23892618.049417853
ENSG00000214062	cg00001791	23766775.347042724
ENSG00000215246	cg00001809	23736431.89047888
ENSG00000271647	cg00003345	23728836.914210465
ENSG00000185105	cg00002190	23668008.59476225
ENSG00000227766	cg00002236	23656688.007008214
ENSG00000198242	cg00002224	23650845.387655836
ENSG00000167700	cg00004082	23599476.787659734
ENSG00000273055	cg00001349	23428251.98621232
ENSG00000215246	cg00000165	23400240.06678882
ENSG00000234943	cg00001854	23396229.286599845
ENSG00000273055	cg00003305	23370344.08675756
ENSG00000240423	cg00001874	23364199.83891693
ENSG00000254465	cg00002810	23324918.66088281
ENSG00000206072	cg00003625	23303322.53507658
ENSG00000172137	cg00003305	23289594.76590454
ENSG00000234900	cg00002930	23254547.791217916
ENSG00000179833	cg00001249	23249920.58387057
ENSG00000276644	cg00003969	23248863.370702233
ENSG00000215246	cg00003173	23231459.406423535
ENSG00000242268	cg00003305	23200382.072134484
ENSG00000266261	cg00002116	23153660.90233051
ENSG00000234900	cg00002464	23106219.602038987
ENSG00000242041	cg00002224	23007989.617218174
ENSG00000158486	cg00000714	22959909.252740376
ENSG00000102174	cg00002033	22926766.010597467
ENSG00000118972	cg00000658	22919462.840052363
ENSG00000057294	cg00000321	22875143.165878855
ENSG00000197421	cg00000734	22866472.595493395
ENSG00000273055	cg00002597	22781677.799014196
ENSG00000167768	cg00003202	22780684.230052125
ENSG00000127511	cg00000321	22760434.45472749
ENSG00000070087	cg00002808	22740656.897818632
ENSG00000070087	cg00000292	22716291.25928101
ENSG00000214198	cg00000622	22683925.589067977
ENSG00000258630	cg00002930	22661122.529781166
ENSG00000102174	cg00002597	22645722.131479338
ENSG00000182141	cg00003784	22607088.864835806
ENSG00000198242	cg00002719	22594521.19609144
ENSG00000266644	cg00004089	22582690.445054576
ENSG00000057294	cg00002837	22549886.923134625
ENSG00000214198	cg00004089	22545957.213375468
ENSG00000102174	cg00001249	22545798.605796587
ENSG00000258630	cg00004082	22508877.670500286
ENSG00000070081	cg00003513	22498991.829740085
ENSG00000264438	cg00001687	22451673.02146868
ENSG00000060642	cg00003202	22430967.0441739
ENSG00000118972	cg00000721	22420961.02006613
ENSG00000278099	cg00001364	22407786.808395293
ENSG00000179262	cg00000714	22401840.684088465
ENSG00000264576	cg00001582	22401073.219136175
ENSG00000161558	cg00000292	22398319.091345534
ENSG00000102174	cg00003173	22374215.45031592
ENSG00000172137	cg00002406	22360592.574224666
ENSG00000267108	cg00003529	22346020.228865433
ENSG00000060642	cg00002531	22323190.074858177
ENSG00000240423	cg00002145	22322186.9501509
ENSG00000280038	cg00003529	22274764.200277135
ENSG00000008517	cg00003784	22247919.447384812
ENSG00000166634	cg00003091	22204474.020961862
ENSG00000206072	cg00000948	22193736.78359239
ENSG00000206072	cg00000029	22192370.435729314
ENSG00000206072	cg00002190	22168820.0057344
ENSG00000095587	cg00001791	22155449.625812765
ENSG00000078237	cg00002769	22080659.13885984
ENSG00000233540	cg00003202	21972681.144162305
ENSG00000158486	cg00001364	21876916.801014494
ENSG00000185105	cg00003345	21843399.236743502
ENSG00000161558	cg00002236	21841254.705476325
ENSG00000167578	cg00001687	21824068.87240186
ENSG00000102174	cg00002531	21780543.029350404
ENSG00000276644	cg00001747	21774181.429940045
ENSG00000167768	cg00004055	21770370.40706686
ENSG00000182141	cg00000905	21768203.273034617
ENSG00000266261	cg00002464	21765742.257376924
ENSG00000102174	cg00002808	21752111.75227159
ENSG00000057294	cg00002809	21745237.99664683
ENSG00000252628	cg00000924	21744172.898874436
ENSG00000274458	cg00002809	21722474.088636596
ENSG00000255420	cg00001582	21612149.239987005
ENSG00000185105	cg00000321	21582204.0415859
ENSG00000198242	cg00002116	21579729.996374737
ENSG00000215246	cg00002224	21550235.083765447
ENSG00000172137	cg00002719	21544446.687710058
ENSG00000269416	cg00003513	21540785.746928975
ENSG00000008517	cg00000289	21518341.256487433
ENSG00000259883	cg00000769	21507914.851571996
ENSG00000258630	cg00003091	21502980.835198015
ENSG00000269416	cg00002033	21472818.41804377
ENSG00000166391	cg00000292	21420041.50926105
ENSG00000206072	cg00001510	21419972.223819852
ENSG00000231105	cg00001747	21388825.797746085
ENSG00000275479	cg00003994	21372512.95667422
ENSG00000198242	cg00001349	21368857.247807357
ENSG00000206072	cg00000658	21341581.22838809
ENSG00000266644	cg00000029	21341120.956536323
ENSG00000167768	cg00002591	21332518.222904224
ENSG00000234900	cg00000289	21325732.58352626
ENSG00000166391	cg00001349	21289505.07368843
ENSG00000172137	cg00003345	21232554.334222287
ENSG00000167578	cg00000734	21214108.1512525
ENSG00000064225	cg00001687	21190206.094882064
ENSG00000225275	cg00003181	21141310.61319603
ENSG00000166391	cg00004089	21135920.442983273
ENSG00000260900	cg00002646	21124236.135999057
ENSG00000127511	cg00002426	21110797.005376153
ENSG00000269416	cg00002531	21105205.5717039
ENSG00000266644	cg00002464	21104828.67850715
ENSG00000167578	cg00002837	21094145.08194816
ENSG00000270469	cg00002224	21093439.774104666
ENSG00000214198	cg00002531	21051225.11311059
ENSG00000259883	cg00002116	21011507.482530575
ENSG00000236040	cg00000363	20966657.822113037
ENSG00000196167	cg00001261	20924878.96562642
ENSG00000227766	cg00001791	20877015.47474468
ENSG00000070087	cg00000769	20841442.871082585
ENSG00000167700	cg00002660	20839769.9627257
ENSG00000269416	cg00000721	20821520.912394002
ENSG00000153561	cg00003969	20811287.76989959
ENSG00000234900	cg00003173	20789697.357399307
ENSG00000064225	cg00003969	20788480.396175023
ENSG00000214198	cg00002464	20778251.406961843
ENSG00000258630	cg00001583	20772418.078216765
ENSG00000234900	cg00002116	20755724.850789815
ENSG00000231981	cg00002591	20744716.87824666
ENSG00000167700	cg00001809	20734243.533628426
ENSG00000231105	cg00000029	20693639.930103235
ENSG00000214198	cg00002808	20660144.17079242
ENSG00000266261	cg00003287	20655190.4468372
ENSG00000273055	cg00000165	20642979.30927519
ENSG00000231981	cg00002930	20528324.04402895
ENSG00000057294	cg00004082	20525741.50814465
ENSG00000269416	cg00004089	20510999.67739769
ENSG00000275265	cg00000721	20482835.29372195
ENSG00000070087	cg00002810	20432220.844744645
ENSG00000196167	cg00003625	20416726.833475545
ENSG00000227766	cg00003091	20397414.585839562
ENSG00000095587	cg00003287	20388835.790373806
ENSG00000275479	cg00000714	20368761.566223312
ENSG00000231105	cg00002809	20354151.29826014
ENSG00000231105	cg00002808	20328810.50011071
ENSG00000134108	cg00003287	20327424.46599169
ENSG00000179833	cg00002660	20313185.102063358
ENSG00000008517	cg00000721	20301857.8891081
ENSG00000166634	cg00004089	20286365.69760351
ENSG00000196167	cg00004067	20283335.860923104
ENSG00000127511	cg00002591	20184931.74510006
ENSG00000179262	cg00004089	20167105.53022086
ENSG00000179262	cg00000905	20135850.220650256
ENSG00000266261	cg00000236	20120929.97137059
ENSG00000196167	cg00001349	20107689.254713185
ENSG00000095587	cg00003784	20085955.44711656
ENSG00000198242	cg00000658	20042859.642001543
ENSG00000167700	cg00000924	20035403.471717108
ENSG00000231105	cg00002236	19985175.04010702
ENSG00000172137	cg00003173	19978553.551105153
ENSG00000234881	cg00002591	19967186.876022674
ENSG00000060642	cg00001583	19873953.59888108
ENSG00000227766	cg00002464	19825987.22360207
ENSG00000127511	cg00000714	19805255.216733873
ENSG00000102174	cg00003784	19796344.29676755
ENSG00000258630	cg00003181	19762554.442762647
ENSG00000064601	cg00001582	19737768.710293334
ENSG00000179833	cg00003969	19672685.09190252
ENSG00000167700	cg00002769	19649785.095295575
ENSG00000070087	cg00001261	19643234.005906608
ENSG00000167700	cg00001791	19634280.139942847
ENSG00000266261	cg00003994	19615006.459045675
ENSG00000254092	cg00000721	19594139.993724808
ENSG00000166391	cg00003091	19586132.954931926
ENSG00000167700	cg00000721	19580667.58370254
ENSG00000269416	cg00002406	19572702.74996633
ENSG00000206072	cg00001583	19544973.24723885
ENSG00000206072	cg00003091	19539258.951546732
ENSG00000260900	cg00003969	19516229.89685162
ENSG00000198242	cg00003625	19453454.159495987
ENSG00000275479	cg00002190	19449731.37655951
ENSG00000270112	cg00004072	19391163.921026055
ENSG00000269416	cg00002719	19380495.728627283
ENSG00000214198	cg00000029	19375381.817636017
ENSG00000214198	cg00003784	19338102.535699002
ENSG00000179262	cg00003994	19330355.46749462
ENSG00000064601	cg00001583	19329636.59727031
ENSG00000197421	cg00000363	19256394.510085035
ENSG00000057294	cg00003287	19211669.02615041
ENSG00000179833	cg00003578	19192113.93193832
ENSG00000070081	cg00002033	19174947.41463542
ENSG00000060642	cg00001809	19159974.577790923
ENSG00000234900	cg00003784	19142426.259709246
ENSG00000060642	cg00003578	19115681.503363557
ENSG00000134108	cg00003298	19080126.99967099
ENSG00000280038	cg00002426	19037095.734158013
ENSG00000166391	cg00004072	19022289.194931008
ENSG00000146083	cg00000905	19012423.2064841
ENSG00000161558	cg00002531	18994382.580616843
ENSG00000278923	cg00002591	18988471.917229973
ENSG00000225269	cg00002769	18864802.451809444
ENSG00000185105	cg00000769	18826030.63488493
ENSG00000070081	cg00003202	18822921.649284672
ENSG00000153561	cg00000769	18818065.28435298
ENSG00000095587	cg00001349	18803915.10447601
ENSG00000214198	cg00004067	18786918.505615734
ENSG00000275479	cg00000622	18779616.778169014
ENSG00000197421	cg00002426	18765247.8672874
ENSG00000166391	cg00000957	18735784.166241933
ENSG00000182141	cg00000658	18710733.435190685
ENSG00000185105	cg00000289	18705988.644424032
ENSG00000271647	cg00000924	18702452.360961895
ENSG00000167700	cg00000029	18693481.123643186
ENSG00000215246	cg00001510	18687427.132227633
ENSG00000278099	cg00002646	18675870.20558072
ENSG00000182141	cg00000714	18629030.385124687
ENSG00000206072	cg00002591	18624420.472159903
ENSG00000215246	cg00001874	18598338.88540079
ENSG00000167768	cg00001874	18557029.39238822
ENSG00000064601	cg00000622	18543674.85452676
ENSG00000215246	cg00004072	18522451.363530956
ENSG00000276644	cg00002116	18448424.88732864
ENSG00000102174	cg00003287	18396144.769494917
ENSG00000254092	cg00000622	18374378.547515586
ENSG00000231105	cg00000734	18368343.46824185
ENSG00000258630	cg00000905	18364077.57533385
ENSG00000161558	cg00000905	18353611.6335642
ENSG00000258630	cg00004067	18349667.629293412
ENSG00000214062	cg00003784	18349521.582379702
ENSG00000070081	cg00002464	18323763.60121786
ENSG00000225275	cg00000957	18305123.042761065
ENSG00000008517	cg00000734	18287491.012196135
ENSG00000273406	cg00002236	18265838.119164456
ENSG00000064601	cg00003287	18232088.640409857
ENSG00000263089	cg00000714	18218652.33518919
ENSG00000167578	cg00000289	18218544.619894635
ENSG00000275479	cg00002591	18216431.17694162
ENSG00000172137	cg00000622	18210020.174784146
ENSG00000231105	cg00000721	18208020.630019814
ENSG00000242268	cg00001364	18202730.133880205
ENSG00000161558	cg00003173	18200860.60583769
ENSG00000206072	cg00002646	18133787.64456583
ENSG00000078237	cg00003287	18127349.285412543
ENSG00000166391	cg00002930	18115385.78243855
ENSG00000167578	cg00001510	18112152.83997771
ENSG00000276644	cg00003173	18067643.930919245
ENSG00000227535	cg00002224	18063842.940807782
ENSG00000280038	cg00002593	18047156.78307996
ENSG00000182141	cg00002593	18046779.928657405
ENSG00000172137	cg00001583	17978099.219754167
ENSG00000254092	cg00001687	17972780.06575591
ENSG00000234900	cg00000363	17964789.687272448
ENSG00000196167	cg00002531	17927179.368341096
ENSG00000088179	cg00002190	17902445.611358006
ENSG00000127511	cg00000363	17900696.846892826
ENSG00000275479	cg00003513	17893657.33143506
ENSG00000127511	cg00001809	17889887.107203916
ENSG00000197421	cg00003173	17844033.5563142
ENSG00000070087	cg00000714	17843268.786854092
ENSG00000064601	cg00002406	17826299.189680804
ENSG00000008517	cg00002464	17810212.74206361
ENSG00000275479	cg00001510	17779544.141125884
ENSG00000240423	cg00002116	17778369.912868764
ENSG00000214062	cg00002236	17772281.56327206
ENSG00000198242	cg00000721	17764023.9140944
ENSG00000095587	cg00002224	17763104.358077765
ENSG00000153561	cg00001747	17739400.94956987
ENSG00000134108	cg00002809	17738724.850794617
ENSG00000102174	cg00003513	17736443.450237606
ENSG00000259883	cg00000924	17706461.580449805
ENSG00000266261	cg00001446	17701147.124172855
ENSG00000261789	cg00000734	17674551.790949773
ENSG00000166391	cg00002449	17666301.421535082
ENSG00000206072	cg00002809	17654699.887868002
ENSG00000070087	cg00003298	17654449.107030153
ENSG00000167700	cg00004067	17651882.036662202
ENSG00000270112	cg00004089	17628222.845039487
ENSG00000242268	cg00001446	17622078.86211104
ENSG00000206072	cg00001791	17579816.834560193
ENSG00000185105	cg00003513	17567508.840516865
